"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","1","...","All industry total",607008,650513,704697,767075,811782,887569,962902,1012299,1097173,1210292,1356500,1472024,1602228,1780497,1986408,2243230,2489416,2713933,3057318,3211370,3445372,3853668,4126664,4340813,4649020,5053003,5366080,5651747,5842665,6167644,6467698,6912844,7299372,7749965,8284432
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","2","..."," Private industries",534043,572138,620727,674100,709676,773930,837791,873159,943514,1041656,1172078,1267030,1374579,1532070,1717489,1950368,2169868,2359511,2665051,2786633,2991976,3361416,3592298,3772663,4045049,4404809,4673612,4910078,5053494,5331969,5600130,6011084,6367489,6786634,7284991
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","3","A","   Agriculture, forestry, and fishing",20386,19502,22274,23338,22801,23506,26196,27298,29424,34307,51975,50099,51708,50279,50787,59092,69973,62567,76827,73279,58979,79602,80516,78229,84294,85182,98725,104602,98402,109105,98846,116215,103036,129420,126638
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","4","[01-02]","     Farms",18494,17340,19940,20825,20120,20497,22826,23685,25371,29650,46763,44245,45626,43022,43533,50726,60103,51369,64952,60412,44933,64151,63427,59491,61472,60739,73769,77258,70605,80392,71361,83899,69141,93279,87949
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","5","[07-09]","     Agricultural services, forestry, and fishing",1892,2162,2334,2513,2681,3009,3370,3613,4053,4657,5212,5854,6082,7257,7254,8366,9870,11198,11875,12867,14046,15451,17089,18738,22822,24443,24956,27344,27797,28713,27485,32317,33895,36141,38690
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","6","B","   Mining",13579,13975,14187,14848,15329,16411,17261,18897,19108,20002,24011,37149,42761,47487,55226,63180,73286,114453,154285,152607,131129,137944,137331,90910,95939,97975,102561,115598,101421,92023,93587,96354,100381,122117,129610
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","7","10","     Metal mining",1235,1162,1156,1362,760,1150,1276,1555,1194,1275,1887,2038,1766,2173,2414,2964,4414,4691,4780,3530,3600,3568,3071,3293,4292,5588,6051,6329,6029,6094,5565,6889,7683,7107,7161
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","8","12","     Coal mining",1507,1679,1732,1861,1918,1879,2010,3031,2963,3314,3798,7413,8925,8751,10239,10804,12042,12451,13413,14852,12955,14086,13094,10650,9185,13458,12615,12551,13551,12951,11634,12751,12070,12066,12020
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","9","13","     Oil and gas extraction",9320,9436,9647,9822,10783,11549,12080,12418,12837,13169,15577,24678,28903,33325,38928,44977,51852,91720,130989,129926,109872,114281,115245,70520,75006,71609,76407,89008,74240,65083,68338,67434,71060,92113,98527
"00000","United States","","200","Gross domestic product (GDP) by state (millions of current dollars)","10","14","     Nonmetallic minerals, except fuels",1517,1698,1652,1803,1868,1833,1895,1893,2114,2244,2749,3020,3167,3238,3645,4435,4978,5591,5103,4299,4702,6009,5920,6446,7456,7320,7487,7710,7601,7894,8049,9281,9568,10832,11902
