state,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK,135.000,158.000,189.000,205.000,215.000,222.000,224.000,231.000,224.000,224.000,229.000,238.000,246.000,256.000,263.000,271.000,271.000,278.000,285.000,296.000,302.583,315.510,324.464,330.543,341.063,376.170,400.969,403.436,404.766,402.753,405.315,418.491,449.606,488.417,513.702,532.495,544.268,539.309,541.983,547.159,553.120,569.273,587.073,596.993,600.624,601.345,604.918,608.846,615.205,619.500,627.963,633.714,642.337,648.414,659.286,666.946,675.302,680.300,687.455,698.895,714.015,722.259,730.825,736.760,736.759,737.979,741.522,739.795
AL,3058.000,3059.000,3068.000,3053.000,3014.000,3050.000,3071.000,3109.000,3163.000,3204.000,3274.000,3316.000,3323.000,3358.000,3395.000,3443.000,3464.000,3458.000,3446.000,3440.000,3444.354,3497.076,3539.400,3579.780,3626.499,3678.814,3735.139,3780.403,3831.836,3866.248,3900.368,3918.531,3925.266,3934.102,3951.820,3972.523,3991.569,4015.264,4023.844,4030.222,4048.508,4091.025,4139.269,4193.114,4232.965,4262.731,4290.403,4320.281,4351.037,4369.862,4452.173,4467.634,4480.089,4503.491,4530.729,4569.805,4628.981,4672.840,4718.206,4757.938,4785.579,4798.649,4813.946,4827.660,4840.037,4850.858,4860.545,4874.747
AR,1908.000,1901.000,1838.000,1780.000,1734.000,1725.000,1704.000,1733.000,1726.000,1756.000,1789.000,1806.000,1853.000,1875.000,1897.000,1894.000,1899.000,1901.000,1902.000,1913.000,1923.322,1972.312,2018.638,2059.256,2101.403,2159.526,2170.161,2209.010,2243.127,2271.333,2288.738,2293.201,2294.257,2305.761,2319.768,2327.046,2331.984,2342.355,2342.656,2346.358,2354.343,2370.666,2394.098,2423.743,2450.605,2480.121,2504.858,2524.007,2538.202,2551.373,2678.588,2691.571,2705.927,2724.816,2749.686,2781.097,2821.761,2848.650,2874.554,2896.843,2921.737,2938.640,2949.208,2956.780,2964.800,2975.626,2988.231,3004.279
AZ,756.000,785.000,842.000,894.000,933.000,987.000,1053.000,1125.000,1193.000,1261.000,1321.000,1407.000,1471.000,1521.000,1556.000,1584.000,1614.000,1646.000,1682.000,1737.000,1775.399,1895.814,2008.291,2124.438,2223.196,2284.847,2346.157,2425.197,2515.316,2635.571,2737.774,2810.107,2889.861,2968.925,3067.135,3183.538,3308.262,3437.103,3535.183,3622.185,3679.056,3762.394,3867.333,3993.390,4147.561,4306.908,4432.308,4552.207,4667.277,4778.332,5160.586,5273.477,5396.255,5510.364,5652.404,5839.077,6029.141,6167.681,6280.362,6343.154,6407.002,6465.488,6544.211,6616.124,6706.435,6802.262,6908.642,7016.270
CA,10677.000,11134.000,11635.000,12251.000,12746.000,13133.000,13713.000,14264.000,14880.000,15467.000,15870.000,16497.000,17072.000,17668.000,18151.000,18585.000,18858.000,19176.000,19394.000,19711.000,19971.069,20345.939,20585.469,20868.728,21173.865,21537.849,21935.909,22352.396,22835.958,23256.880,23800.800,24285.933,24820.009,25360.026,25844.393,26441.109,27102.237,27777.158,28464.249,29218.164,29950.111,30414.114,30875.920,31147.208,31317.179,31493.525,31780.829,32217.708,32682.794,33145.121,33987.977,34479.458,34871.843,35253.159,35574.576,35827.943,36021.202,36250.311,36604.337,36961.229,37327.690,37672.654,38019.006,38347.383,38701.278,39032.444,39296.476,39536.653
CO,1325.000,1326.000,1365.000,1431.000,1493.000,1546.000,1625.000,1664.000,1667.000,1710.000,1769.000,1844.000,1899.000,1936.000,1970.000,1985.000,2007.000,2053.000,2120.000,2166.000,2209.596,2303.524,2404.619,2495.868,2541.406,2586.192,2632.306,2696.140,2766.748,2849.234,2908.803,2977.898,3061.564,3133.630,3169.992,3208.723,3237.450,3260.480,3262.281,3275.818,3303.862,3367.567,3459.995,3560.884,3653.910,3738.061,3812.716,3891.293,3968.967,4056.133,4326.921,4425.687,4490.406,4528.732,4575.013,4631.888,4720.423,4803.868,4889.730,4972.195,5048.029,5116.411,5186.330,5262.556,5342.311,5440.445,5530.105,5607.154
CT,2016.000,2028.000,2081.000,2168.000,2249.000,2300.000,2316.000,2359.000,2446.000,2523.000,2544.000,2586.000,2647.000,2727.000,2798.000,2857.000,2903.000,2935.000,2964.000,3000.000,3032.217,3060.938,3068.699,3067.814,3074.047,3082.500,3083.335,3085.722,3091.627,3095.917,3113.174,3128.836,3139.013,3162.354,3180.014,3201.131,3223.740,3247.291,3271.953,3283.403,3289.056,3288.640,3274.997,3272.325,3268.346,3265.293,3267.030,3268.514,3272.563,3282.031,3411.777,3432.835,3458.749,3484.336,3496.094,3506.956,3517.460,3527.270,3545.579,3561.807,3580.171,3591.927,3597.705,3602.470,3600.188,3593.862,3587.685,3588.184
DE,321.000,331.000,341.000,351.000,368.000,389.000,408.000,426.000,433.000,441.000,449.000,461.000,469.000,483.000,497.000,507.000,516.000,525.000,534.000,540.000,548.104,564.708,572.913,577.759,581.418,586.589,590.166,591.829,594.776,594.984,594.919,595.975,599.148,605.458,611.565,618.280,627.559,636.947,647.622,658.273,669.063,680.495,690.158,699.475,708.416,718.265,727.090,735.024,744.066,753.538,786.373,795.699,806.169,818.003,830.803,845.150,859.268,871.749,883.874,891.730,899.712,907.884,916.868,925.114,934.805,944.107,952.698,961.939
FL,2810.000,2980.000,3157.000,3310.000,3505.000,3747.000,4047.000,4372.000,4630.000,4808.000,5004.000,5243.000,5458.000,5628.000,5781.000,5954.000,6104.000,6242.000,6433.000,6641.000,6791.418,7158.304,7511.463,7913.696,8298.762,8518.422,8667.379,8856.183,9102.032,9426.159,9839.835,10192.774,10471.407,10749.851,11039.925,11351.118,11667.505,11997.283,12306.395,12637.715,13018.365,13289.497,13504.775,13713.593,13961.798,14185.403,14426.911,14683.350,14908.230,15111.244,16047.515,16356.966,16689.370,17004.085,17415.318,17842.038,18166.990,18367.842,18527.305,18652.644,18846.461,19097.369,19341.327,19584.927,19897.747,20268.567,20656.589,20984.400
GA,3458.000,3531.000,3584.000,3558.000,3602.000,3636.000,3701.000,3766.000,3804.000,3868.000,3956.000,4015.000,4086.000,4172.000,4258.000,4332.000,4379.000,4408.000,4482.000,4551.000,4587.930,4711.550,4809.490,4910.374,4999.419,5064.075,5132.812,5219.697,5295.751,5401.384,5486.174,5568.345,5649.792,5728.250,5834.954,5962.661,6084.666,6208.467,6316.142,6411.099,6506.531,6621.279,6759.474,6894.092,7045.900,7188.538,7332.225,7486.094,7636.522,7788.240,8227.303,8377.038,8508.256,8622.793,8769.252,8925.922,9155.813,9349.988,9504.843,9620.846,9712.696,9810.595,9911.171,9981.773,10083.850,10199.533,10313.620,10429.379
