"","state","year","rgdp","pop"
"1","AK","1963",154.0481666835,256
"2","AK","1964",1335.37326483,263
"3","AK","1965",1351.8294103878,271
"4","AK","1966",1294.1278711128,271
"5","AK","1967",1255.1058102961,278
"6","AK","1968",1290.860698365,285
"7","AK","1969",1178.520606027,296
"8","AK","1970",1123.8459169273,302.583
"9","AK","1971",845.0505720517,315.51
"10","AK","1972",620.2675846523,324.464
"11","AK","1973",511.5854296302,330.543
"12","AK","1974",568.8260559255,341.063
"13","AK","1975",6752.86317662,376.17
"14","AK","1976",7349.465571759,400.969
"15","AK","1977",6534.7393973728,403.436
"16","AK","1978",6974.507637251,404.766
"17","AK","1979",7403.245848285,402.753
"18","AK","1980",8687.965220118,405.315
"19","AK","1981",10397.1230568128,418.491
"20","AK","1982",7808.4802957483,449.606
"21","AK","1983",5108.4451348451,488.417
"22","AK","1984",4001.6713629114,513.702
"23","AK","1985",3718.492311579,532.495
"24","AK","1986",20824.223246101,544.268
"25","AK","1987",22555.0867781225,539.309
"26","AK","1988",18424.430936124,541.983
"27","AK","1989",17916.0052153831,547.159
"28","AK","1990",17021.1437004,553.12
"29","AK","1991",12668.101622817,569.273
"30","AK","1992",10839.7058702191,587.073
"31","AK","1993",7749.5697202252,596.993
"32","AK","1994",5337.7383651905,600.624
"33","AK","1995",4281.2685296478,601.345
"34","AK","1996",3803.1263459065,604.918
"35","AK","1997",29943.845542501,608.846
"36","AK","1998",23642.256718791,615.205
"37","AK","1999",21381.6950271408,619.5
"38","AK","2000",20513.3026925631,627.963
"39","AK","2001",19409.134028655,633.714
"40","AK","2002",16920.554171337,642.337
"41","AK","2003",15263.6283732233,648.414
"42","AK","2004",11713.8853420085,659.286
"43","AK","2005",9059.3438731043,666.946
"44","AK","2006",7516.3187801538,675.302
"45","AK","2007",6997.8833391765,680.3
"46","AK","2008",60212.306211981,687.455
"47","AK","2009",49648.7391094611,698.895
"48","AK","2010",46891.7792334808,714.015
"49","AK","2011",44886.6477828293,722.259
"50","AK","2012",41390.47284015,730.825
"51","AK","2013",34001.428077792,736.76
"52","AK","2014",27723.1206434224,736.759
"53","AK","2015",17456.1687290144,737.979
"54","AK","2016",11428.9333807862,741.522
"55","AK","2017",8880.6587453958,739.795
"56","AL","1963",1031.2942121251,3358
"57","AL","1964",8781.74237958,3395
"58","AL","1965",8880.4487164566,3443
"59","AL","1966",8307.2323714054,3464
"60","AL","1967",7515.1636855218,3458
"61","AL","1968",7272.0895595604,3446
"62","AL","1969",6435.3037801144,3440
"63","AL","1970",5698.13648381,3444.354
"64","AL","1971",4075.7464653256,3497.076
"65","AL","1972",3126.7562620228,3539.4
"66","AL","1973",2780.0442240776,3579.78
"67","AL","1974",2732.2344549478,3626.499
"68","AL","1975",22804.753386194,3678.814
"69","AL","1976",24016.9040003436,3735.139
"70","AL","1977",22546.032814645,3780.403
"71","AL","1978",22834.7945825076,3831.836
"72","AL","1979",22333.6688741824,3866.248
"73","AL","1980",19600.9395938728,3900.368
"74","AL","1981",18387.9663670332,3918.531
"75","AL","1982",12498.2777325582,3925.266
"76","AL","1983",9301.0614282977,3934.102
"77","AL","1984",7977.393369642,3951.82
"78","AL","1985",7559.3598901568,3972.523
"79","AL","1986",59970.112741526,3991.569
"80","AL","1987",59984.9922639728,4015.264
"81","AL","1988",55686.3810675056,4023.844
"82","AL","1989",51128.2308870564,4030.222
"83","AL","1990",47440.496798772,4048.508
"84","AL","1991",41240.5027263812,4091.025
"85","AL","1992",37116.679011976,4139.269
"86","AL","1993",25297.8088921997,4193.114
"87","AL","1994",18345.5643198574,4232.965
"88","AL","1995",15284.6601736798,4262.731
"89","AL","1996",14065.0946707722,4290.403
"90","AL","1997",111967.215339645,4320.281
"91","AL","1998",108032.623511495,4351.037
"92","AL","1999",97030.195104823,4369.862
"93","AL","2000",88973.916428012,4452.173
"94","AL","2001",81367.6399639544,4467.634
"95","AL","2002",69349.5365139532,4480.089
"96","AL","2003",61383.6605840688,4503.491
"97","AL","2004",43973.1280968691,4530.729
"98","AL","2005",31917.103677525,4569.805
"99","AL","2006",26235.2716000456,4628.981
"100","AL","2007",23864.9879350311,4672.84
"101","AL","2008",184444.366771894,4718.206
"102","AL","2009",166189.985068978,4757.938
"103","AL","2010",147390.735006422,4785.579
"104","AL","2011",135056.903137849,4798.649
"105","AL","2012",123141.246529286,4813.946
"106","AL","2013",103215.95989614,4827.66
"107","AL","2014",88596.7728431816,4840.037
"108","AL","2015",59773.2271548676,4850.858
"109","AL","2016",41578.9760003463,4860.545
"110","AL","2017",33650.5307118468,4874.747
"111","AR","1963",564.3037743101,1875
"112","AR","1964",4565.579529172,1897
"113","AR","1965",4586.353177536,1894
"114","AR","1966",4500.4516432944,1899
"115","AR","1967",4167.3158133672,1901
"116","AR","1968",4102.9572747808,1902
"117","AR","1969",3892.34147554,1913
"118","AR","1970",3351.2512101828,1923.322
"119","AR","1971",3102.33862512,1972.312
"120","AR","1972",2216.7722589508,2018.638
"121","AR","1973",1835.7739961128,2059.256
"122","AR","1974",1617.2937240515,2101.403
"123","AR","1975",13144.202202838,2159.526
"124","AR","1976",14136.613572864,2170.161
"125","AR","1977",14035.7142252456,2209.01
"126","AR","1978",14191.7728897542,2243.127
"127","AR","1979",13738.1453350348,2271.333
"128","AR","1980",12663.85041047,2288.738
"129","AR","1981",11506.4483954244,2293.201
"130","AR","1982",9810.311939946,2294.257
"131","AR","1983",6600.7303947944,2305.761
"132","AR","1984",5285.788670782,2319.768
"133","AR","1985",4365.2789462986,2327.046
"134","AR","1986",33899.538071111,2331.984
"135","AR","1987",33695.150740224,2342.355
"136","AR","1988",32361.0947662032,2342.656
"137","AR","1989",30148.8896178288,2346.358
"138","AR","1990",27822.999191536,2354.343
"139","AR","1991",25964.76569659,2370.666
"140","AR","1992",22628.8626038712,2394.098
"141","AR","1993",19834.118150868,2423.743
"142","AR","1994",13418.5969468112,2450.605
"143","AR","1995",10141.1379198576,2480.121
"144","AR","1996",8629.9328988136,2504.858
"145","AR","1997",66406.728479637,2524.007
"146","AR","1998",64240.9231064,2538.202
"147","AR","1999",61677.820744122,2551.373
"148","AR","2000",55874.6753316414,2678.588
"149","AR","2001",50962.5560941348,2691.571
"150","AR","2002",46279.0157755275,2705.927
"151","AR","2003",39596.7395876616,2724.816
"152","AR","2004",35552.216870478,2749.686
"153","AR","2005",23571.5391636658,2781.097
"154","AR","2006",17611.0631213172,2821.761
"155","AR","2007",14495.9532464824,2848.65
"156","AR","2008",109888.700345582,2874.554
"157","AR","2009",101114.33613632,2896.843
"158","AR","2010",95177.8958769108,2921.737
"159","AR","2011",87119.7996236802,2938.64
"160","AR","2012",78567.6036632552,2949.208
"161","AR","2013",71486.17392882,2956.78
"162","AR","2014",59290.5555714252,2964.8
"163","AR","2015",49654.514222838,2975.626
"164","AR","2016",31650.465705705,2988.231
"165","AR","2017",23196.5624161864,3004.279
"166","AZ","1963",647.6348911122,1521
"167","AZ","1964",5235.87292874,1556
"168","AZ","1965",5028,1584
"169","AZ","1966",4950.0106240899,1614
"170","AZ","1967",4566.8767815508,1646
"171","AZ","1968",4607.3743456755,1682
"172","AZ","1969",4531.7314858587,1737
"173","AZ","1970",4227.0833186703,1775.399
"174","AZ","1971",3646.5854262168,1895.814
"175","AZ","1972",2786.8950800244,2008.291
"176","AZ","1973",2373.419840664,2124.438
"177","AZ","1974",2111.2435060331,2223.196
"178","AZ","1975",16613.05415048,2284.847
"179","AZ","1976",16970,2346.157
"180","AZ","1977",17561.9247924333,2425.197
"181","AZ","1978",18383.5940857204,2515.316
"182","AZ","1979",19214.2814552325,2635.571
"183","AZ","1980",18433.7151171436,2737.774
"184","AZ","1981",16904.8801782603,2810.107
"185","AZ","1982",13527.3996005808,2889.861
"186","AZ","1983",9816.3270379818,2968.925
"187","AZ","1984",8214.382921908,3067.135
"188","AZ","1985",7327.2908731389,3183.538
"189","AZ","1986",60740.25641082,3308.262
"190","AZ","1987",60047,3437.103
"191","AZ","1988",58165.0877476965,3535.183
"192","AZ","1989",53617.170860002,3622.185
"193","AZ","1990",49359.633669612,3679.056
"194","AZ","1991",43955.9379002542,3762.394
"195","AZ","1992",40786.9883246934,3867.333
"196","AZ","1993",33748.58312376,3993.39
"197","AZ","1994",24772.5652464018,4147.561
"198","AZ","1995",19568.8732939248,4306.908
"199","AZ","1996",17271.708731513,4432.308
"200","AZ","1997",140520.74244438,4552.207
"201","AZ","1998",143768,4667.277
"202","AZ","1999",139844.293269137,4778.332
"203","AZ","2000",131021.902227331,5160.586
"204","AZ","2001",120399.713524608,5273.477
"205","AZ","2002",107618.885828065,5396.255
"206","AZ","2003",95051.4119801595,5510.364
"207","AZ","2004",77147.8249109952,5652.404
"208","AZ","2005",56112.5479635306,5839.077
"209","AZ","2006",44238.3736077672,6029.141
"210","AZ","2007",37864.6776085445,6167.681
"211","AZ","2008",279041.48360396,6280.362
"212","AZ","2009",242509,6343.154
"213","AZ","2010",220021.568662732,6407.002
"214","AZ","2011",200737.254514259,6465.488
"215","AZ","2012",184974.933669026,6544.211
"216","AZ","2013",162064.376999698,6616.124
"217","AZ","2014",138651.19398942,6706.435
"218","AZ","2015",110851.813042498,6802.262
"219","AZ","2016",75116.1021848199,6908.642
"220","AZ","2017",56949.61260588,7016.27
"221","CA","1963",10373.4839298363,17668
"222","CA","1964",82637.108117949,18151
"223","CA","1965",82393.761016385,18585
"224","CA","1966",80469.2690414226,18858
"225","CA","1967",73887.5360890848,19176
"226","CA","1968",72671.2504401681,19394
"227","CA","1969",68614.7602323642,19711
"228","CA","1970",58353.4725095705,19971.069
"229","CA","1971",53270.373832662,20345.939
"230","CA","1972",37006.9790717022,20585.469
"231","CA","1973",28234.5992196345,20868.728
"232","CA","1974",24754.6093012205,21173.865
"233","CA","1975",200535.473529762,21537.849
"234","CA","1976",207789.625385615,21935.909
"235","CA","1977",218312.12754509,22352.396
"236","CA","1978",216787.421674646,22835.958
"237","CA","1979",216046.818437165,23256.88
"238","CA","1980",211037.893408788,23800.8
"239","CA","1981",192179.555202122,24285.933
"240","CA","1982",174270.045947698,24820.009
"241","CA","1983",118446.069883902,25360.026
"242","CA","1984",92465.335203417,25844.393
"243","CA","1985",80147.6274793142,26441.109
"244","CA","1986",632969.245075986,27102.237
"245","CA","1987",647920.749176155,27777.158
"246","CA","1988",638580.469075985,28464.249
"247","CA","1989",596388.752544355,29218.164
"248","CA","1990",569365.235010306,29950.111
"249","CA","1991",508387.182310051,30414.114
"250","CA","1992",420700.476477937,30875.92
"251","CA","1993",365742.370674924,31147.208
"252","CA","1994",239414.250040944,31317.179
"253","CA","1995",174813.804516962,31493.525
"254","CA","1996",147502.07164791,31780.829
"255","CA","1997",1165810.14371814,32217.708
"256","CA","1998",1212030.51368535,32682.794
"257","CA","1999",1186691.37012194,33145.121
"258","CA","2000",1124340.93905106,33987.977
"259","CA","2001",1013031.5335085,34479.458
"260","CA","2002",921006.874616617,34871.843
"261","CA","2003",793855.782690297,35253.159
"262","CA","2004",728028.442379714,35574.576
"263","CA","2005",491050.756533372,35827.943
"264","CA","2006",360436.95910024,36021.202
"265","CA","2007",299310.709475956,36250.311
"266","CA","2008",2230162.1122796,36604.337
"267","CA","2009",2013294.65127017,36961.229
"268","CA","2010",1869301.87101949,37327.69
"269","CA","2011",1679750.90236343,37672.654
"270","CA","2012",1568834.35405674,38019.006
"271","CA","2013",1431053.61920934,38347.383
"272","CA","2014",1229192.95773788,38701.278
"273","CA","2015",1110869.09308154,39032.444
"274","CA","2016",728126.342717341,39296.476
"275","CA","2017",526769.893991314,39536.653
"276","CO","1963",945.132087885,1936
"277","CO","1964",874.6970384196,1970
"278","CO","1965",7084.152520559,1985
"279","CO","1966",7183.1514801225,2007
"280","CO","1967",6467.2736223412,2053
"281","CO","1968",6384.113983324,2120
"282","CO","1969",6280.350644496,2166
"283","CO","1970",5657.0582951604,2209.596
"284","CO","1971",5480.2598423048,2303.524
"285","CO","1972",4123.6119552296,2404.619
"286","CO","1973",3282.320327156,2495.868
"287","CO","1974",2847.6789928984,2541.406
"288","CO","1975",2832.2319326862,2586.192
"289","CO","1976",23773.736395717,2632.306
"290","CO","1977",25106.9657507292,2696.14
"291","CO","1978",24801.0579115036,2766.748
"292","CO","1979",25256.123059321,2849.234
"293","CO","1980",25394.3460870064,2908.803
"294","CO","1981",23848.4787145416,2977.898
"295","CO","1982",21766.6529859304,3061.564
"296","CO","1983",15172.7619809442,3133.63
"297","CO","1984",11449.433746649,3169.992
"298","CO","1985",9513.6916208522,3208.723
"299","CO","1986",8562.986260829,3237.45
"300","CO","1987",68288.19621688,3260.48
"301","CO","1988",66901.5525551423,3262.281
"302","CO","1989",60048.7958732878,3275.818
"303","CO","1990",56493.4283177726,3303.862
"304","CO","1991",52843.7183026232,3367.567
"305","CO","1992",47346.6113780168,3459.995
"306","CO","1993",43693.6302929684,3560.884
"307","CO","1994",31264.2422087333,3653.91
"308","CO","1995",22949.3647291004,3738.061
"309","CO","1996",19314.3524613002,3812.716
"310","CO","1997",18707.9550908228,3891.293
"311","CO","1998",160843.701211395,3968.967
"312","CO","1999",162753.920855807,4056.133
"313","CO","2000",153108.864488842,4326.921
"314","CO","2001",140620.950020505,4425.687
"315","CO","2002",127904.508252274,4490.406
"316","CO","2003",107821.437706752,4528.732
"317","CO","2004",93290.4843067192,4575.013
"318","CO","2005",65950.8669456026,4631.888
"319","CO","2006",47223.060190696,4720.423
"320","CO","2007",39232.7918790258,4803.868
"321","CO","2008",35783.3670900288,4889.73
"322","CO","2009",264168.05817503,4972.195
"323","CO","2010",250175.095962139,5048.029
"324","CO","2011",221637.837045116,5116.411
"325","CO","2012",203932.073833349,5186.33
"326","CO","2013",190023.668471942,5262.556
"327","CO","2014",165658.36435687,5342.311
"328","CO","2015",144164.45171596,5440.445
"329","CO","2016",96856.4171393678,5530.105
"330","CO","2017",69789.6232935524,5607.154
"331","CT","1963",1661.6012129094,2727
"332","CT","1964",1500.7961280495,2798
"333","CT","1965",12437.427741376,2857
"334","CT","1966",12605.2681265564,2903
"335","CT","1967",11776.217140414,2935
"336","CT","1968",10926.2193576781,2964
"337","CT","1969",10622.580375645,3000
"338","CT","1970",9293.428049553,3032.217
"339","CT","1971",8160.3886015463,3060.938
"340","CT","1972",6256.8356455297,3068.699
"341","CT","1973",4705.2598984488,3067.814
"342","CT","1974",3785.4966581844,3074.047
"343","CT","1975",3410.395978212,3082.5
"344","CT","1976",28480.363297793,3083.335
"345","CT","1977",29120.4125827206,3085.722
"346","CT","1978",28785.2498560572,3091.627
"347","CT","1979",28153.9407416085,3095.917
"348","CT","1980",27713.73916395,3113.174
"349","CT","1981",25947.919681758,3128.836
"350","CT","1982",23913.7641568812,3139.013
