state,year,pcp
Alabama,1950,53.0
Alabama,1951,52.9
Alabama,1952,46.7
Alabama,1953,59.4
Alabama,1954,35.3
Alabama,1955,48.1
Alabama,1956,53.7
Alabama,1957,58.8
Alabama,1958,49.2
Alabama,1959,56.1
Alabama,1960,51.0
Alabama,1961,69.8
Alabama,1962,50.1
Alabama,1963,48.8
Alabama,1964,66.5
Alabama,1965,48.7
Alabama,1966,55.8
Alabama,1967,55.8
Alabama,1968,45.2
Alabama,1969,52.5
Alabama,1970,53.8
Alabama,1971,60.0
Alabama,1972,55.9
Alabama,1973,67.1
Alabama,1974,60.4
Alabama,1975,74.7
Alabama,1976,55.9
Alabama,1977,57.8
Alabama,1978,49.5
Alabama,1979,67.9
Alabama,1980,58.4
Alabama,1981,45.8
Alabama,1982,61.1
Alabama,1983,70.3
Alabama,1984,50.5
Alabama,1985,51.3
Alabama,1986,47.7
Alabama,1987,48.1
Alabama,1988,51.1
Alabama,1989,65.1
Alabama,1990,56.8
Alabama,1991,63.2
Alabama,1992,59.7
Alabama,1993,50.2
Alabama,1994,60.3
Alabama,1995,59.5
Alabama,1996,58.3
Alabama,1997,62.9
Alabama,1998,59.2
Alabama,1999,49.0
Alabama,2000,42.5
Alabama,2001,59.0
Alabama,2002,57.1
Alabama,2003,63.7
Alabama,2004,59.8
Alabama,2005,57.0
Alabama,2006,47.5
Alabama,2007,37.8
Alabama,2008,53.0
Alabama,2009,73.7
Alabama,2010,47.2
Alabama,2011,50.7
Alabama,2012,53.3
Alabama,2013,64.7
Alabama,2014,56.0
Alabama,2015,61.3
Alabama,2016,45.0
Alabama,2017,63.3
Arizona,1950,7.0
Arizona,1951,14.5
Arizona,1952,14.2
Arizona,1953,8.1
Arizona,1954,11.7
Arizona,1955,11.2
Arizona,1956,6.0
Arizona,1957,14.7
Arizona,1958,13.6
Arizona,1959,13.0
Arizona,1960,9.8
Arizona,1961,11.3
Arizona,1962,10.0
Arizona,1963,11.5
Arizona,1964,11.1
Arizona,1965,17.7
Arizona,1966,11.2
Arizona,1967,13.9
Arizona,1968,10.2
Arizona,1969,12.5
Arizona,1970,11.0
Arizona,1971,11.6
Arizona,1972,11.9
Arizona,1973,10.8
Arizona,1974,10.9
Arizona,1975,10.1
Arizona,1976,11.6
Arizona,1977,10.6
Arizona,1978,20.1
Arizona,1979,12.2
Arizona,1980,13.5
Arizona,1981,12.4
Arizona,1982,16.5
Arizona,1983,18.9
Arizona,1984,15.8
Arizona,1985,13.9
Arizona,1986,13.8
Arizona,1987,13.2
Arizona,1988,12.6
Arizona,1989,7.6
Arizona,1990,14.0
Arizona,1991,12.9
Arizona,1992,18.1
Arizona,1993,16.7
Arizona,1994,12.4
Arizona,1995,11.4
Arizona,1996,8.7
Arizona,1997,12.7
Arizona,1998,14.4
Arizona,1999,10.3
Arizona,2000,11.1
Arizona,2001,10.7
Arizona,2002,6.9
Arizona,2003,10.5
Arizona,2004,13.5
Arizona,2005,13.0
Arizona,2006,9.7
Arizona,2007,10.9
Arizona,2008,12.3
Arizona,2009,7.0
Arizona,2010,13.9
Arizona,2011,9.6
Arizona,2012,9.5
Arizona,2013,12.1
Arizona,2014,11.0
Arizona,2015,14.3
Arizona,2016,12.2
Arizona,2017,9.5
Arkansas,1950,60.0
Arkansas,1951,52.6
Arkansas,1952,42.9
Arkansas,1953,44.5
Arkansas,1954,37.7
Arkansas,1955,42.4
Arkansas,1956,42.0
Arkansas,1957,71.7
Arkansas,1958,55.2
Arkansas,1959,48.1
Arkansas,1960,45.4
Arkansas,1961,55.7
Arkansas,1962,45.7
Arkansas,1963,32.8
Arkansas,1964,45.9
Arkansas,1965,43.9
