state,year,tavg
Alabama,1950,63.1
Alabama,1951,63.8
Alabama,1952,63.3
Alabama,1953,63.8
Alabama,1954,64.2
Alabama,1955,63.4
Alabama,1956,63.6
Alabama,1957,64.0
Alabama,1958,61.2
Alabama,1959,63.0
Alabama,1960,61.5
Alabama,1961,61.9
Alabama,1962,63.0
Alabama,1963,61.7
Alabama,1964,62.4
Alabama,1965,63.0
Alabama,1966,61.7
Alabama,1967,61.9
Alabama,1968,61.0
Alabama,1969,61.4
Alabama,1970,62.1
Alabama,1971,62.7
Alabama,1972,63.0
Alabama,1973,63.1
Alabama,1974,63.1
Alabama,1975,62.8
Alabama,1976,60.7
Alabama,1977,62.5
Alabama,1978,61.9
Alabama,1979,61.4
Alabama,1980,62.5
Alabama,1981,62.0
Alabama,1982,63.3
Alabama,1983,61.2
Alabama,1984,62.8
Alabama,1985,62.8
Alabama,1986,64.1
Alabama,1987,63.0
Alabama,1988,62.1
Alabama,1989,62.2
Alabama,1990,64.9
Alabama,1991,64.0
Alabama,1992,62.1
Alabama,1993,62.3
Alabama,1994,63.1
Alabama,1995,63.0
Alabama,1996,62.1
Alabama,1997,62.4
Alabama,1998,65.1
Alabama,1999,64.1
Alabama,2000,63.6
Alabama,2001,63.0
Alabama,2002,63.6
Alabama,2003,62.7
Alabama,2004,63.3
Alabama,2005,63.4
Alabama,2006,64.2
Alabama,2007,64.4
Alabama,2008,62.9
Alabama,2009,62.9
Alabama,2010,62.7
Alabama,2011,63.8
Alabama,2012,64.9
Alabama,2013,62.6
Alabama,2014,62.0
Alabama,2015,64.6
Alabama,2016,65.3
Alabama,2017,65.0
Arizona,1950,60.5
Arizona,1951,58.9
Arizona,1952,58.8
Arizona,1953,59.2
Arizona,1954,60.9
Arizona,1955,58.4
Arizona,1956,59.5
Arizona,1957,59.5
Arizona,1958,60.4
Arizona,1959,60.2
Arizona,1960,59.6
Arizona,1961,59.3
Arizona,1962,59.8
Arizona,1963,59.8
Arizona,1964,57.8
Arizona,1965,58.5
Arizona,1966,59.5
Arizona,1967,59.0
Arizona,1968,58.6
Arizona,1969,59.7
Arizona,1970,59.0
Arizona,1971,58.2
Arizona,1972,59.6
Arizona,1973,58.4
Arizona,1974,59.5
Arizona,1975,57.9
Arizona,1976,59.0
Arizona,1977,60.2
Arizona,1978,59.8
Arizona,1979,58.8
Arizona,1980,60.2
Arizona,1981,61.3
Arizona,1982,58.7
Arizona,1983,59.2
Arizona,1984,59.4
Arizona,1985,59.6
Arizona,1986,60.6
Arizona,1987,59.3
Arizona,1988,60.2
Arizona,1989,61.2
Arizona,1990,59.7
Arizona,1991,59.2
Arizona,1992,59.6
Arizona,1993,59.8
Arizona,1994,60.6
Arizona,1995,61.0
Arizona,1996,61.9
Arizona,1997,60.5
Arizona,1998,59.3
Arizona,1999,60.8
Arizona,2000,61.7
Arizona,2001,61.2
Arizona,2002,61.2
Arizona,2003,61.9
Arizona,2004,60.4
Arizona,2005,61.1
Arizona,2006,61.1
Arizona,2007,61.6
Arizona,2008,60.6
Arizona,2009,61.1
Arizona,2010,60.4
Arizona,2011,60.3
Arizona,2012,62.1
Arizona,2013,60.4
Arizona,2014,62.2
Arizona,2015,61.8
Arizona,2016,62.2
Arizona,2017,63.0
Arkansas,1950,59.8
Arkansas,1951,60.1
Arkansas,1952,61.0
Arkansas,1953,61.8
Arkansas,1954,62.8
Arkansas,1955,60.8
Arkansas,1956,61.4
