"","state","year","tavg","tmax","tmin","pcp"
"1","Alabama",1950,63.1,74.7,51.5,53
"2","Alabama",1951,63.8,76.1,51.4,52.9
"3","Alabama",1952,63.3,75.8,50.9,46.7
"4","Alabama",1953,63.8,76.1,51.4,59.4
"5","Alabama",1954,64.2,77.2,51.1,35.3
"6","Alabama",1955,63.4,75.7,51.2,48.1
"7","Alabama",1956,63.6,75.9,51.2,53.7
"8","Alabama",1957,64,75,52.9,58.8
"9","Alabama",1958,61.2,72.8,49.7,49.2
"10","Alabama",1959,63,74.4,51.4,56.1
"11","Alabama",1960,61.5,73.3,49.7,51
"12","Alabama",1961,61.9,73.7,50.1,69.8
"13","Alabama",1962,63,75.3,50.8,50.1
"14","Alabama",1963,61.7,74.2,49.3,48.8
"15","Alabama",1964,62.4,74.2,50.7,66.5
"16","Alabama",1965,63,74.8,51.2,48.7
"17","Alabama",1966,61.7,73.2,50.1,55.8
"18","Alabama",1967,61.9,73.9,49.9,55.8
"19","Alabama",1968,61,73.4,48.6,45.2
"20","Alabama",1969,61.4,73.3,49.4,52.5
"21","Alabama",1970,62.1,74,50.2,53.8
"22","Alabama",1971,62.7,74.4,50.9,60
"23","Alabama",1972,63,74.7,51.2,55.9
"24","Alabama",1973,63.1,74.5,51.6,67.1
"25","Alabama",1974,63.1,75,51.2,60.4
"26","Alabama",1975,62.8,74.1,51.6,74.7
"27","Alabama",1976,60.7,72.9,48.4,55.9
"28","Alabama",1977,62.5,74.4,50.6,57.8
"29","Alabama",1978,61.9,73.9,49.8,49.5
"30","Alabama",1979,61.4,72.7,50,67.9
"31","Alabama",1980,62.5,74.5,50.5,58.4
"32","Alabama",1981,62,74.3,49.6,45.8
"33","Alabama",1982,63.3,74.8,51.9,61.1
"34","Alabama",1983,61.2,72.5,49.9,70.3
"35","Alabama",1984,62.8,74.9,50.8,50.5
"36","Alabama",1985,62.8,74.1,51.5,51.3
"37","Alabama",1986,64.1,75.8,52.4,47.7
"38","Alabama",1987,63,75.1,51,48.1
"39","Alabama",1988,62.1,74.1,50,51.1
"40","Alabama",1989,62.2,73.3,51.1,65.1
"41","Alabama",1990,64.9,77.3,52.5,56.8
"42","Alabama",1991,64,74.9,53.1,63.2
"43","Alabama",1992,62.1,73.2,51,59.7
"44","Alabama",1993,62.3,73.8,50.9,50.2
"45","Alabama",1994,63.1,74.1,52,60.3
"46","Alabama",1995,63,74.6,51.5,59.5
"47","Alabama",1996,62.1,73.7,50.6,58.3
"48","Alabama",1997,62.4,73.5,51.2,62.9
"49","Alabama",1998,65.1,76.3,53.9,59.2
