state,year,tmax
Alabama,1950,74.7
Alabama,1951,76.1
Alabama,1952,75.8
Alabama,1953,76.1
Alabama,1954,77.2
Alabama,1955,75.7
Alabama,1956,75.9
Alabama,1957,75.0
Alabama,1958,72.8
Alabama,1959,74.4
Alabama,1960,73.3
Alabama,1961,73.7
Alabama,1962,75.3
Alabama,1963,74.2
Alabama,1964,74.2
Alabama,1965,74.8
Alabama,1966,73.2
Alabama,1967,73.9
Alabama,1968,73.4
Alabama,1969,73.3
Alabama,1970,74.0
Alabama,1971,74.4
Alabama,1972,74.7
Alabama,1973,74.5
Alabama,1974,75.0
Alabama,1975,74.1
Alabama,1976,72.9
Alabama,1977,74.4
Alabama,1978,73.9
Alabama,1979,72.7
Alabama,1980,74.5
Alabama,1981,74.3
Alabama,1982,74.8
Alabama,1983,72.5
Alabama,1984,74.9
Alabama,1985,74.1
Alabama,1986,75.8
Alabama,1987,75.1
Alabama,1988,74.1
Alabama,1989,73.3
Alabama,1990,77.3
Alabama,1991,74.9
Alabama,1992,73.2
Alabama,1993,73.8
Alabama,1994,74.1
Alabama,1995,74.6
Alabama,1996,73.7
Alabama,1997,73.5
Alabama,1998,76.3
Alabama,1999,76.4
Alabama,2000,76.0
Alabama,2001,74.6
Alabama,2002,74.8
Alabama,2003,73.8
Alabama,2004,74.2
Alabama,2005,74.9
Alabama,2006,76.6
Alabama,2007,76.8
Alabama,2008,74.7
Alabama,2009,73.8
Alabama,2010,74.6
Alabama,2011,76.0
Alabama,2012,76.5
Alabama,2013,73.3
Alabama,2014,73.7
Alabama,2015,75.4
Alabama,2016,77.3
Alabama,2017,76.2
Arizona,1950,76.2
Arizona,1951,73.2
Arizona,1952,72.9
Arizona,1953,74.4
Arizona,1954,75.8
Arizona,1955,73.1
Arizona,1956,74.9
Arizona,1957,72.7
Arizona,1958,74.5
Arizona,1959,74.5
Arizona,1960,74.0
Arizona,1961,73.5
Arizona,1962,74.2
Arizona,1963,74.2
Arizona,1964,72.1
Arizona,1965,72.3
Arizona,1966,73.9
Arizona,1967,73.5
Arizona,1968,72.8
Arizona,1969,73.6
Arizona,1970,73.4
Arizona,1971,72.6
Arizona,1972,74.1
Arizona,1973,72.6
Arizona,1974,73.9
Arizona,1975,72.5
Arizona,1976,73.5
Arizona,1977,74.5
Arizona,1978,73.3
Arizona,1979,73.2
Arizona,1980,74.5
Arizona,1981,75.4
Arizona,1982,72.0
Arizona,1983,72.3
Arizona,1984,73.2
Arizona,1985,73.4
Arizona,1986,74.4
Arizona,1987,73.2
Arizona,1988,74.5
Arizona,1989,76.3
Arizona,1990,73.8
Arizona,1991,73.1
Arizona,1992,73.0
Arizona,1993,73.7
Arizona,1994,74.7
Arizona,1995,75.2
Arizona,1996,76.4
Arizona,1997,74.5
Arizona,1998,73.2
Arizona,1999,75.7
Arizona,2000,76.1
Arizona,2001,75.5
Arizona,2002,76.0
Arizona,2003,76.2
Arizona,2004,74.2
Arizona,2005,75.1
Arizona,2006,75.7
Arizona,2007,75.9
Arizona,2008,74.9
Arizona,2009,75.5
Arizona,2010,74.2
Arizona,2011,74.7
Arizona,2012,76.8
Arizona,2013,74.6
Arizona,2014,76.5
Arizona,2015,75.5
Arizona,2016,76.4
Arizona,2017,77.5
Arkansas,1950,70.7
Arkansas,1951,71.6
Arkansas,1952,73.5
Arkansas,1953,74.4
Arkansas,1954,75.4
Arkansas,1955,72.5
Arkansas,1956,73.6
Arkansas,1957,70.9
Arkansas,1958,69.4
Arkansas,1959,71.1
Arkansas,1960,69.9
Arkansas,1961,70.2
Arkansas,1962,71.4
Arkansas,1963,72.7
Arkansas,1964,72.5
Arkansas,1965,72.4
Arkansas,1966,70.5
Arkansas,1967,71.3
Arkansas,1968,69.6
Arkansas,1969,70.9
Arkansas,1970,70.8
Arkansas,1971,71.9
Arkansas,1972,71.2
Arkansas,1973,71.0
Arkansas,1974,71.0
Arkansas,1975,70.8
Arkansas,1976,70.6
Arkansas,1977,72.1
Arkansas,1978,70.2
Arkansas,1979,68.8
Arkansas,1980,72.3
Arkansas,1981,71.5
