state,year,tmin
Alabama,1950,51.5
Alabama,1951,51.4
Alabama,1952,50.9
Alabama,1953,51.4
Alabama,1954,51.1
Alabama,1955,51.2
Alabama,1956,51.2
Alabama,1957,52.9
Alabama,1958,49.7
Alabama,1959,51.4
Alabama,1960,49.7
Alabama,1961,50.1
Alabama,1962,50.8
Alabama,1963,49.3
Alabama,1964,50.7
Alabama,1965,51.2
Alabama,1966,50.1
Alabama,1967,49.9
Alabama,1968,48.6
Alabama,1969,49.4
Alabama,1970,50.2
Alabama,1971,50.9
Alabama,1972,51.2
Alabama,1973,51.6
Alabama,1974,51.2
Alabama,1975,51.6
Alabama,1976,48.4
Alabama,1977,50.6
Alabama,1978,49.8
Alabama,1979,50.0
Alabama,1980,50.5
Alabama,1981,49.6
Alabama,1982,51.9
Alabama,1983,49.9
Alabama,1984,50.8
Alabama,1985,51.5
Alabama,1986,52.4
Alabama,1987,51.0
Alabama,1988,50.0
Alabama,1989,51.1
Alabama,1990,52.5
Alabama,1991,53.1
Alabama,1992,51.0
Alabama,1993,50.9
Alabama,1994,52.0
Alabama,1995,51.5
Alabama,1996,50.6
Alabama,1997,51.2
Alabama,1998,53.9
Alabama,1999,51.9
Alabama,2000,51.2
Alabama,2001,51.4
Alabama,2002,52.4
Alabama,2003,51.6
Alabama,2004,52.4
Alabama,2005,51.9
Alabama,2006,51.7
Alabama,2007,52.0
Alabama,2008,51.1
Alabama,2009,52.0
Alabama,2010,50.7
Alabama,2011,51.7
Alabama,2012,53.3
Alabama,2013,51.9
Alabama,2014,50.4
Alabama,2015,53.8
Alabama,2016,53.4
Alabama,2017,53.9
Arizona,1950,44.9
Arizona,1951,44.5
Arizona,1952,44.7
Arizona,1953,44.1
Arizona,1954,46.0
Arizona,1955,43.8
Arizona,1956,44.2
Arizona,1957,46.3
Arizona,1958,46.3
Arizona,1959,45.8
Arizona,1960,45.1
Arizona,1961,45.0
Arizona,1962,45.5
Arizona,1963,45.4
Arizona,1964,43.4
Arizona,1965,44.6
Arizona,1966,45.1
Arizona,1967,44.5
Arizona,1968,44.5
Arizona,1969,45.8
Arizona,1970,44.6
Arizona,1971,43.8
Arizona,1972,45.1
Arizona,1973,44.1
Arizona,1974,45.0
Arizona,1975,43.3
Arizona,1976,44.5
Arizona,1977,45.9
Arizona,1978,46.3
Arizona,1979,44.4
Arizona,1980,46.0
Arizona,1981,47.3
Arizona,1982,45.4
Arizona,1983,46.1
Arizona,1984,45.6
Arizona,1985,45.7
Arizona,1986,46.7
Arizona,1987,45.4
Arizona,1988,45.9
Arizona,1989,46.2
Arizona,1990,45.7
Arizona,1991,45.4
Arizona,1992,46.1
Arizona,1993,45.9
Arizona,1994,46.4
