state,year,month,pcp
Alabama,1950,1,4.9
Alabama,1950,2,4.2
Alabama,1950,3,6.7
Alabama,1950,4,3.4
Alabama,1950,5,4.1
Alabama,1950,6,3.3
Alabama,1950,7,9.1
Alabama,1950,8,5.5
Alabama,1950,9,3.8
Alabama,1950,10,1.7
Alabama,1950,11,1.7
Alabama,1950,12,4
Alabama,1951,1,3.9
Alabama,1951,2,3.3
Alabama,1951,3,9.2
Alabama,1951,4,5
Alabama,1951,5,1.4
Alabama,1951,6,4.6
Alabama,1951,7,4.1
Alabama,1951,8,2.2
Alabama,1951,9,5.8
Alabama,1951,10,1.7
Alabama,1951,11,3.6
Alabama,1951,12,7.5
Alabama,1952,1,3.9
Alabama,1952,2,4.3
Alabama,1952,3,6.5
Alabama,1952,4,2.9
Alabama,1952,5,5.3
Alabama,1952,6,2
Alabama,1952,7,2.2
Alabama,1952,8,6.2
Alabama,1952,9,3.2
Alabama,1952,10,1.2
Alabama,1952,11,2.6
Alabama,1952,12,5.9
Alabama,1953,1,5.4
Alabama,1953,2,7.4
Alabama,1953,3,3.7
Alabama,1953,4,7.7
Alabama,1953,5,4.4
Alabama,1953,6,3.7
Alabama,1953,7,5.9
Alabama,1953,8,2.6
Alabama,1953,9,4.7
Alabama,1953,10,0.5
Alabama,1953,11,2.6
Alabama,1953,12,10.3
Alabama,1954,1,4.2
Alabama,1954,2,3.1
Alabama,1954,3,3.7
Alabama,1954,4,3.5
Alabama,1954,5,2.3
Alabama,1954,6,2.2
Alabama,1954,7,3.9
Alabama,1954,8,1.8
Alabama,1954,9,1.1
Alabama,1954,10,1.5
Alabama,1954,11,3
Alabama,1954,12,4.7
Alabama,1955,1,4.4
Alabama,1955,2,5.4
Alabama,1955,3,3.2
Alabama,1955,4,7.3
Alabama,1955,5,5.6
Alabama,1955,6,3.1
Alabama,1955,7,7.1
Alabama,1955,8,3
Alabama,1955,9,0.9
Alabama,1955,10,2.4
Alabama,1955,11,3.1
Alabama,1955,12,2
Alabama,1956,1,2.6
Alabama,1956,2,7.8
Alabama,1956,3,6.8
Alabama,1956,4,4.6
Alabama,1956,5,2.6
Alabama,1956,6,4.2
Alabama,1956,7,5.5
Alabama,1956,8,2.8
Alabama,1956,9,4.7
Alabama,1956,10,3.7
Alabama,1956,11,1.7
Alabama,1956,12,6.1
Alabama,1957,1,4.5
Alabama,1957,2,3.7
Alabama,1957,3,4.2
Alabama,1957,4,7.1
Alabama,1957,5,5.1
Alabama,1957,6,5.8
Alabama,1957,7,3
Alabama,1957,8,2.2
Alabama,1957,9,8.9
Alabama,1957,10,2.3
Alabama,1957,11,8
Alabama,1957,12,3.5
Alabama,1958,1,3.3
Alabama,1958,2,4.3
Alabama,1958,3,5.6
Alabama,1958,4,5.1
Alabama,1958,5,2.9
Alabama,1958,6,4.8
Alabama,1958,7,8.3
Alabama,1958,8,3
Alabama,1958,9,5.1
