state,year,month,tavg
Alabama,1950,1,58.9
Alabama,1950,2,53.2
Alabama,1950,3,52.2
Alabama,1950,4,59.2
Alabama,1950,5,73.7
Alabama,1950,6,77.6
Alabama,1950,7,77.5
Alabama,1950,8,77.1
Alabama,1950,9,72.1
Alabama,1950,10,66.1
Alabama,1950,11,48.6
Alabama,1950,12,41.2
Alabama,1951,1,46.8
Alabama,1951,2,49.3
Alabama,1951,3,56.1
Alabama,1951,4,61.1
Alabama,1951,5,70.2
Alabama,1951,6,78.4
Alabama,1951,7,80.8
Alabama,1951,8,82.4
Alabama,1951,9,75.6
Alabama,1951,10,65.9
Alabama,1951,11,48.7
Alabama,1951,12,49.9
Alabama,1952,1,52.4
Alabama,1952,2,51.1
Alabama,1952,3,53.3
Alabama,1952,4,61
Alabama,1952,5,71.5
Alabama,1952,6,82
Alabama,1952,7,82.3
Alabama,1952,8,79.7
Alabama,1952,9,72.1
Alabama,1952,10,57.6
Alabama,1952,11,51.9
Alabama,1952,12,45.3
Alabama,1953,1,49
Alabama,1953,2,48.9
Alabama,1953,3,58.1
Alabama,1953,4,60.6
Alabama,1953,5,73.8
Alabama,1953,6,80.6
Alabama,1953,7,79.6
Alabama,1953,8,79
Alabama,1953,9,73.7
Alabama,1953,10,65.3
Alabama,1953,11,52.1
Alabama,1953,12,44.4
Alabama,1954,1,46.9
Alabama,1954,2,52
Alabama,1954,3,53.8
Alabama,1954,4,67.5
Alabama,1954,5,66.2
Alabama,1954,6,79
Alabama,1954,7,82.4
Alabama,1954,8,83.4
Alabama,1954,9,78.2
Alabama,1954,10,65.2
Alabama,1954,11,50.9
Alabama,1954,12,44.6
Alabama,1955,1,44
Alabama,1955,2,49.1
Alabama,1955,3,58.6
Alabama,1955,4,66.2
Alabama,1955,5,73.3
Alabama,1955,6,73.3
Alabama,1955,7,79.8
Alabama,1955,8,80.3
Alabama,1955,9,76.8
Alabama,1955,10,62
Alabama,1955,11,51.8
Alabama,1955,12,46
Alabama,1956,1,42.2
Alabama,1956,2,53.5
Alabama,1956,3,54.6
Alabama,1956,4,61.2
Alabama,1956,5,73.3
Alabama,1956,6,76.2
Alabama,1956,7,79.6
Alabama,1956,8,80.1
Alabama,1956,9,72.1
Alabama,1956,10,65
Alabama,1956,11,51
Alabama,1956,12,54.2
Alabama,1957,1,48.4
Alabama,1957,2,56.4
Alabama,1957,3,52.7
Alabama,1957,4,65
Alabama,1957,5,71.8
Alabama,1957,6,78.2
Alabama,1957,7,79.7
Alabama,1957,8,79.5
Alabama,1957,9,73.8
Alabama,1957,10,59.4
Alabama,1957,11,55
Alabama,1957,12,47.5
Alabama,1958,1,39.7
Alabama,1958,2,38.2
Alabama,1958,3,50.9
Alabama,1958,4,63.3
Alabama,1958,5,70.8
Alabama,1958,6,77.9
Alabama,1958,7,79
Alabama,1958,8,78.9
Alabama,1958,9,75.1
Alabama,1958,10,62.3
Alabama,1958,11,55.9
Alabama,1958,12,42.6
Alabama,1959,1,43.1
Alabama,1959,2,49.4
Alabama,1959,3,52.1
Alabama,1959,4,62.3
Alabama,1959,5,72.8
Alabama,1959,6,76.6
Alabama,1959,7,79.8
Alabama,1959,8,80.2
Alabama,1959,9,74.7
Alabama,1959,10,66.2
Alabama,1959,11,51.4
Alabama,1959,12,46.9
Alabama,1960,1,44.5
Alabama,1960,2,44.4
Alabama,1960,3,45.3
Alabama,1960,4,64.1
Alabama,1960,5,67.8
Alabama,1960,6,77.3
Alabama,1960,7,81.1
Alabama,1960,8,79.1
Alabama,1960,9,74.6
Alabama,1960,10,65.1
Alabama,1960,11,53.4
Alabama,1960,12,41.8
Alabama,1961,1,39.2
Alabama,1961,2,52
Alabama,1961,3,57.4
Alabama,1961,4,58.9
Alabama,1961,5,67.7
Alabama,1961,6,73.9
Alabama,1961,7,77.9
Alabama,1961,8,77.4
Alabama,1961,9,74.4
Alabama,1961,10,62
Alabama,1961,11,55.4
Alabama,1961,12,47
Alabama,1962,1,42.6
Alabama,1962,2,55.4
Alabama,1962,3,50.9
Alabama,1962,4,60
Alabama,1962,5,75.3
Alabama,1962,6,77
Alabama,1962,7,80.8
Alabama,1962,8,80.3
Alabama,1962,9,74.6
Alabama,1962,10,65.6
Alabama,1962,11,51.2
Alabama,1962,12,42.9
Alabama,1963,1,39.1
Alabama,1963,2,41.8
Alabama,1963,3,58.3
Alabama,1963,4,65.8
Alabama,1963,5,71.7
Alabama,1963,6,77.1
Alabama,1963,7,78.1
Alabama,1963,8,79.3
Alabama,1963,9,73.1
Alabama,1963,10,65.7
Alabama,1963,11,53.1
Alabama,1963,12,37.6
Alabama,1964,1,42.4
Alabama,1964,2,42.5
Alabama,1964,3,54.1
Alabama,1964,4,65
Alabama,1964,5,71.1
Alabama,1964,6,78.4
Alabama,1964,7,78.1
Alabama,1964,8,78.1
Alabama,1964,9,74.6
Alabama,1964,10,59.8
Alabama,1964,11,56.3
Alabama,1964,12,48.3
Alabama,1965,1,46.5
Alabama,1965,2,46.4
Alabama,1965,3,51.3
Alabama,1965,4,66.1
Alabama,1965,5,72.6
Alabama,1965,6,75.7
Alabama,1965,7,78.8
Alabama,1965,8,78.4
Alabama,1965,9,74.8
Alabama,1965,10,62.1
Alabama,1965,11,56.9
Alabama,1965,12,46.6
Alabama,1966,1,40
Alabama,1966,2,46.6
Alabama,1966,3,53.2
Alabama,1966,4,63.4
Alabama,1966,5,69.4
Alabama,1966,6,74.3
Alabama,1966,7,80.9
Alabama,1966,8,77.5
Alabama,1966,9,72.9
Alabama,1966,10,61.5
Alabama,1966,11,54.4
Alabama,1966,12,45.8
Alabama,1967,1,45.4
Alabama,1967,2,44.3
Alabama,1967,3,58.7
Alabama,1967,4,67.9
Alabama,1967,5,68.8
Alabama,1967,6,76.3
Alabama,1967,7,76.1
Alabama,1967,8,75.2
Alabama,1967,9,68.8
Alabama,1967,10,60.7
Alabama,1967,11,50.4
Alabama,1967,12,50.4
Alabama,1968,1,42.3
Alabama,1968,2,40
Alabama,1968,3,52
Alabama,1968,4,63.8
Alabama,1968,5,69
Alabama,1968,6,77.6
Alabama,1968,7,78.7
Alabama,1968,8,79.4
Alabama,1968,9,72.3
Alabama,1968,10,63.6
Alabama,1968,11,50.8
Alabama,1968,12,42.5
Alabama,1969,1,43.3
Alabama,1969,2,45.8
Alabama,1969,3,47.6
Alabama,1969,4,64
Alabama,1969,5,69.9
Alabama,1969,6,77.8
Alabama,1969,7,81.1
Alabama,1969,8,77.1
Alabama,1969,9,72
Alabama,1969,10,64.1
Alabama,1969,11,50.2
Alabama,1969,12,43.5
Alabama,1970,1,38
Alabama,1970,2,44.3
Alabama,1970,3,52.7
Alabama,1970,4,65.8
Alabama,1970,5,70.8
Alabama,1970,6,75.3
Alabama,1970,7,79
Alabama,1970,8,79.1
Alabama,1970,9,77.4
Alabama,1970,10,64.2
Alabama,1970,11,49.3
Alabama,1970,12,49.5
Alabama,1971,1,45
Alabama,1971,2,45.8
Alabama,1971,3,50
Alabama,1971,4,61.2
Alabama,1971,5,66.6
Alabama,1971,6,78
Alabama,1971,7,78
Alabama,1971,8,77.7
Alabama,1971,9,75.2
Alabama,1971,10,67.7
Alabama,1971,11,52.2
Alabama,1971,12,54.9
Alabama,1972,1,49.1
Alabama,1972,2,47
Alabama,1972,3,55.1
Alabama,1972,4,63.5
Alabama,1972,5,68.7
Alabama,1972,6,75
Alabama,1972,7,77.6
Alabama,1972,8,79.1
Alabama,1972,9,77.2
Alabama,1972,10,63.4
Alabama,1972,11,50.7
Alabama,1972,12,49.1
Alabama,1973,1,43.2
Alabama,1973,2,44.6
Alabama,1973,3,59.9
Alabama,1973,4,60.1
Alabama,1973,5,67.7
Alabama,1973,6,76.9
Alabama,1973,7,79.9
Alabama,1973,8,77.6
Alabama,1973,9,76.5
Alabama,1973,10,66.7
Alabama,1973,11,57.6
Alabama,1973,12,46
Alabama,1974,1,55
Alabama,1974,2,47.7
Alabama,1974,3,60.1
Alabama,1974,4,62
Alabama,1974,5,71.8
Alabama,1974,6,73.4
Alabama,1974,7,78.9
Alabama,1974,8,77.8
Alabama,1974,9,70.9
Alabama,1974,10,60.3
Alabama,1974,11,52.6
Alabama,1974,12,46.7
Alabama,1975,1,49
Alabama,1975,2,51.1
Alabama,1975,3,53.7
Alabama,1975,4,60.9
Alabama,1975,5,72.3
Alabama,1975,6,76.1
Alabama,1975,7,78
Alabama,1975,8,78.5
Alabama,1975,9,70.4
Alabama,1975,10,64.3
Alabama,1975,11,54.4
Alabama,1975,12,45.2
Alabama,1976,1,40.6
Alabama,1976,2,53
Alabama,1976,3,58.2
Alabama,1976,4,62.7
Alabama,1976,5,65.4
Alabama,1976,6,74.6
Alabama,1976,7,78.6
Alabama,1976,8,77.1
Alabama,1976,9,72
Alabama,1976,10,57.9
Alabama,1976,11,45.9
Alabama,1976,12,42.1
Alabama,1977,1,33.3
Alabama,1977,2,45.2
Alabama,1977,3,57.5
Alabama,1977,4,64.9
Alabama,1977,5,71.9
Alabama,1977,6,79.1
Alabama,1977,7,81.3
Alabama,1977,8,79.6
Alabama,1977,9,75.7
Alabama,1977,10,60.3
Alabama,1977,11,55.9
Alabama,1977,12,44.8
Alabama,1978,1,35.6
Alabama,1978,2,38.8
Alabama,1978,3,51.2
Alabama,1978,4,63.9
Alabama,1978,5,70
Alabama,1978,6,78
Alabama,1978,7,80.7
Alabama,1978,8,79.3
Alabama,1978,9,76.9
Alabama,1978,10,62.2
Alabama,1978,11,59.2
Alabama,1978,12,46.6
Alabama,1979,1,37.8
Alabama,1979,2,43.6
Alabama,1979,3,55.8
Alabama,1979,4,63.6
Alabama,1979,5,69.5
Alabama,1979,6,75.2
Alabama,1979,7,79
Alabama,1979,8,78.4
Alabama,1979,9,72.6
Alabama,1979,10,62.4
Alabama,1979,11,52.8
Alabama,1979,12,45.6
Alabama,1980,1,46.7
Alabama,1980,2,42.7
Alabama,1980,3,52.6
Alabama,1980,4,60.6
Alabama,1980,5,70.2
Alabama,1980,6,77.4
Alabama,1980,7,82.6
Alabama,1980,8,81.5
