state,year,month,tmax
Alabama,1950,1,68.4
Alabama,1950,2,65.8
Alabama,1950,3,64.3
Alabama,1950,4,72.1
Alabama,1950,5,85
Alabama,1950,6,89
Alabama,1950,7,88
Alabama,1950,8,88.9
Alabama,1950,9,82.2
Alabama,1950,10,78.5
Alabama,1950,11,62.8
Alabama,1950,12,51.7
Alabama,1951,1,58.9
Alabama,1951,2,61.8
Alabama,1951,3,67.2
Alabama,1951,4,73.9
Alabama,1951,5,84.5
Alabama,1951,6,90.4
Alabama,1951,7,92.5
Alabama,1951,8,95.4
Alabama,1951,9,87
Alabama,1951,10,78.8
Alabama,1951,11,61.3
Alabama,1951,12,61.7
Alabama,1952,1,63
Alabama,1952,2,61.8
Alabama,1952,3,65.9
Alabama,1952,4,74.5
Alabama,1952,5,84.3
Alabama,1952,6,95
Alabama,1952,7,95.8
Alabama,1952,8,91.1
Alabama,1952,9,84
Alabama,1952,10,72.6
Alabama,1952,11,65.6
Alabama,1952,12,56.1
Alabama,1953,1,60.6
Alabama,1953,2,60.2
Alabama,1953,3,70
Alabama,1953,4,73.8
Alabama,1953,5,85.2
Alabama,1953,6,92.8
Alabama,1953,7,90.2
Alabama,1953,8,91.5
Alabama,1953,9,87.3
Alabama,1953,10,80.1
Alabama,1953,11,66.6
Alabama,1953,12,54.8
Alabama,1954,1,58.7
Alabama,1954,2,66
Alabama,1954,3,65.7
Alabama,1954,4,80.4
Alabama,1954,5,78.3
Alabama,1954,6,92.6
Alabama,1954,7,94.8
Alabama,1954,8,97.3
Alabama,1954,9,93
Alabama,1954,10,79.6
Alabama,1954,11,63.9
Alabama,1954,12,56.6
Alabama,1955,1,54.8
Alabama,1955,2,60.4
Alabama,1955,3,71.6
Alabama,1955,4,79.3
Alabama,1955,5,86
Alabama,1955,6,85.8
Alabama,1955,7,90.5
Alabama,1955,8,91.9
Alabama,1955,9,89.2
Alabama,1955,10,76.7
Alabama,1955,11,65.2
Alabama,1955,12,56.8
Alabama,1956,1,53.5
Alabama,1956,2,64.4
Alabama,1956,3,67.5
Alabama,1956,4,74
Alabama,1956,5,85.6
Alabama,1956,6,88.2
Alabama,1956,7,91.4
Alabama,1956,8,93.1
Alabama,1956,9,85.7
Alabama,1956,10,76.9
Alabama,1956,11,64.6
Alabama,1956,12,66.1
Alabama,1957,1,58.8
Alabama,1957,2,66.9
Alabama,1957,3,63.7
Alabama,1957,4,77.2
Alabama,1957,5,83.1
Alabama,1957,6,88.7
Alabama,1957,7,90.9
Alabama,1957,8,92.4
Alabama,1957,9,83.4
Alabama,1957,10,70
Alabama,1957,11,65.5
Alabama,1957,12,59.4
Alabama,1958,1,50.2
Alabama,1958,2,49.8
Alabama,1958,3,61.3
Alabama,1958,4,75.7
Alabama,1958,5,83.2
Alabama,1958,6,89.2
Alabama,1958,7,89.2
Alabama,1958,8,90.5
Alabama,1958,9,86.6
Alabama,1958,10,75.1
Alabama,1958,11,68.9
Alabama,1958,12,54
Alabama,1959,1,55.8
Alabama,1959,2,59.5
Alabama,1959,3,64.7
Alabama,1959,4,74.8
Alabama,1959,5,85.1
Alabama,1959,6,87.3
Alabama,1959,7,91.1
Alabama,1959,8,92
Alabama,1959,9,85.1
Alabama,1959,10,75.4
Alabama,1959,11,64.6
Alabama,1959,12,57.9
Alabama,1960,1,53.6
Alabama,1960,2,55.7
Alabama,1960,3,56.3
Alabama,1960,4,77.6
Alabama,1960,5,80.9
Alabama,1960,6,89.5
Alabama,1960,7,93.4
Alabama,1960,8,89.6
Alabama,1960,9,85.2
Alabama,1960,10,77.6
Alabama,1960,11,67
Alabama,1960,12,53.6
Alabama,1961,1,50.4
Alabama,1961,2,63.5
Alabama,1961,3,69.2
Alabama,1961,4,72.1
Alabama,1961,5,80.3
Alabama,1961,6,84.8
Alabama,1961,7,89.2
Alabama,1961,8,88.1
Alabama,1961,9,86
Alabama,1961,10,77.3
Alabama,1961,11,67
Alabama,1961,12,57.1
Alabama,1962,1,52.9
Alabama,1962,2,68.4
Alabama,1962,3,62.3
Alabama,1962,4,72.6
Alabama,1962,5,89.8
Alabama,1962,6,88.6
Alabama,1962,7,93
Alabama,1962,8,92.6
Alabama,1962,9,86.6
Alabama,1962,10,78.9
Alabama,1962,11,63
Alabama,1962,12,54.4
Alabama,1963,1,50.6
Alabama,1963,2,55
Alabama,1963,3,71.8
Alabama,1963,4,78.1
Alabama,1963,5,84.1
Alabama,1963,6,88.4
Alabama,1963,7,88.9
Alabama,1963,8,91.3
Alabama,1963,9,85.4
Alabama,1963,10,81.6
Alabama,1963,11,66
Alabama,1963,12,48.8
Alabama,1964,1,53.7
Alabama,1964,2,53.4
Alabama,1964,3,66.9
Alabama,1964,4,76.8
Alabama,1964,5,84
Alabama,1964,6,90.7
Alabama,1964,7,88.2
Alabama,1964,8,88.7
Alabama,1964,9,86.7
Alabama,1964,10,72.8
Alabama,1964,11,69
Alabama,1964,12,58.9
Alabama,1965,1,58.8
Alabama,1965,2,58.2
Alabama,1965,3,62
Alabama,1965,4,78.6
Alabama,1965,5,86.8
Alabama,1965,6,86.6
Alabama,1965,7,89.5
Alabama,1965,8,89.3
Alabama,1965,9,84.9
