state,year,month,tmin
Alabama,1950,1,49.4
Alabama,1950,2,40.7
Alabama,1950,3,40.2
Alabama,1950,4,46.3
Alabama,1950,5,62.3
Alabama,1950,6,66.1
Alabama,1950,7,67
Alabama,1950,8,65.2
Alabama,1950,9,62
Alabama,1950,10,53.7
Alabama,1950,11,34.4
Alabama,1950,12,30.8
Alabama,1951,1,34.8
Alabama,1951,2,36.8
Alabama,1951,3,45
Alabama,1951,4,48.4
Alabama,1951,5,55.8
Alabama,1951,6,66.5
Alabama,1951,7,69.1
Alabama,1951,8,69.3
Alabama,1951,9,64.3
Alabama,1951,10,53
Alabama,1951,11,36
Alabama,1951,12,38.1
Alabama,1952,1,41.8
Alabama,1952,2,40.3
Alabama,1952,3,40.8
Alabama,1952,4,47.6
Alabama,1952,5,58.6
Alabama,1952,6,69
Alabama,1952,7,68.8
Alabama,1952,8,68.3
Alabama,1952,9,60.2
Alabama,1952,10,42.7
Alabama,1952,11,38.1
Alabama,1952,12,34.6
Alabama,1953,1,37.3
Alabama,1953,2,37.6
Alabama,1953,3,46.2
Alabama,1953,4,47.4
Alabama,1953,5,62.5
Alabama,1953,6,68.3
Alabama,1953,7,69
Alabama,1953,8,66.6
Alabama,1953,9,60
Alabama,1953,10,50.5
Alabama,1953,11,37.7
Alabama,1953,12,34.1
Alabama,1954,1,35.1
Alabama,1954,2,38.1
Alabama,1954,3,41.9
Alabama,1954,4,54.6
Alabama,1954,5,54
Alabama,1954,6,65.3
Alabama,1954,7,70
Alabama,1954,8,69.4
Alabama,1954,9,63.3
Alabama,1954,10,50.7
Alabama,1954,11,37.8
Alabama,1954,12,32.6
Alabama,1955,1,33.2
Alabama,1955,2,37.8
Alabama,1955,3,45.6
Alabama,1955,4,53.2
Alabama,1955,5,60.6
Alabama,1955,6,60.8
Alabama,1955,7,69.1
Alabama,1955,8,68.8
Alabama,1955,9,64.4
Alabama,1955,10,47.2
Alabama,1955,11,38.4
Alabama,1955,12,35.2
Alabama,1956,1,30.9
Alabama,1956,2,42.7
Alabama,1956,3,41.6
Alabama,1956,4,48.5
Alabama,1956,5,60.9
Alabama,1956,6,64.1
Alabama,1956,7,67.9
Alabama,1956,8,67.1
Alabama,1956,9,58.5
Alabama,1956,10,53
